index,text_vector
id,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,"[0.7716576786256863, 0.46592357778342713, 0.4644689080807356, 0.41929106137047123, 0.29857614925012926, 0.28169965932718494, 0.2306995732380528, 0.22576017850660368, 0.2455370756061954, 0.14524393983768286, 0.11584179126253594, 0.1565826445705019, 0.1460919518189723, 0.1550855098493561, 0.11973611330199097, 0.1641440599592241, 0.13050998673354028, 0.12913230589858488, 0.09934158862896343, 0.12222968947662516]"
1,"[0.7762952035382552, 0.37677026642915235, 0.3187169742349694, 0.38230968529496356, 0.28752848653050334, 0.24169628785659827, 0.2159982533839267, 0.16355240423037617, 0.17463595017937739, 0.23157571880963224, 0.17757156783500003, 0.15678287426836743, 0.1410683792385179, 0.11828713655252156, 0.11141200421995519, 0.12552744481651784, 0.14728491416171458, 0.09396764306912674, 0.1108999881720116, 0.10355578184620629]"
2,"[0.7898439686944783, 0.6181139249954556, 0.3704565488074233, 0.40322818711238484, 0.2681659170459564, 0.25196187557300526, 0.2739835156378665, 0.3043492912825536, 0.20049829509763978, 0.20211992781955251, 0.19500271604387703, 0.14988118660010433, 0.15582661416793894, 0.19261995121812878, 0.20507424705229507, 0]"
3,"[0.9270103227256417, 0.23794352476285732, 0.16544597963354496, 0.12599110954551007, 0.20889181928923797, 0.1174600087752049, 0.12337944252637237, 0.10345311223273271, 0.08049334165028701, 0.11119358161967141, 0.06718034243473396, 0.08348594207121868, 0.08861622866851843, 0.052929735393166526, 0.09748387946624827, 0.05243306807371356, 0.06964503560178353, 0.06734772765329362, 0.05262833721442653, 0.054395194958496526]"
4,"[0.8754799123239878, 0.38214776544622636, 0.1907954200894695, 0.1759680490951869, 0.1350802132207307, 0.20452116777005966, 0.15362174300637607, 0.170441838104198, 0.19188274886379203, 0.14984319128309634, 0.11602471233419677, 0.1300123451152278, 0.1142643032050997, 0.10567671262841596, 0.07327940498301896, 0.13320980360442158, 0.08286386239976927, 0.07265507301376925, 0.07182229894690995, 0.0848423941548597]"
5,"[0.8347721219175162, 0.30463810676465575, 0.3511353012313889, 0.31486454035492073, 0.17886591237938693, 0.1920615054674007, 0.15227834943343155, 0.18636807210077277, 0.1423284051135836, 0.12603979827942027, 0.15122857413453683, 0.13204487359684067, 0.13092403142911893, 0.11489081102341864, 0.13772335005024372, 0.1395281931828502, 0.11775890039993128, 0.08098220184881103, 0.10906540476342164, 0.10888702574191066]"
6,"[0.9129923172857148, 0.4089893457225463, 0.22747838905714202, 0.27401237568607195, 0.19889984767306654, 0.16401131986021045, 0.21547703577300598, 0.17475268576901754, 0.17623505285024887, 0.11001588621970823, 0.10126570968092335, 0.09956532172052054, 0.11263207694480584, 0.12111540757798225, 0.10156605508298736, 0.11228916695278282, 0.1022322448480176, 0.11316014377454171, 0.0801018862797498, 0.08557799296242201]"
7,"[0.598398045749778, 0.6671257649931718, 0.7677547815086285, 0.42310874660798414, 0.37505000123336674, 0.3418878691397547, 0.33906190634677447, 0.3265337536559781, 0.40996436788589263, 0.3813914035786208, 0, 0, 0, 0, 0, 0]"
8,"[0.9352961084564915, 0.22395820935809524, 0.20077423403596298, 0.15666353038447517, 0.08753647254942577, 0.10174922083736672, 0.10225850460895984, 0.07686727038638903, 0.05655294653127542, 0.0522282475480896, 0.06583558383876817, 0.06328836947194921, 0.07093059384866014, 0.05644450018646281, 0.05895895472103476, 0.037683362010858736, 0.04727509881821485, 0.056403066520899915, 0.05374778009985655, 0.04593507686180502]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[0.9299182305843134, 0.294701154406248, 0.34899211797233, 0.22256881190062072, 0.24097185859316053, 0.1366413723701181, 0.11012860990032179, 0.11830791379439644, 0.11358128493467001, 0.1151542714921709, 0.09107838378198613, 0.12784901792048992, 0.1233678095854561, 0.08381963034182796, 0.07115289791792848, 0.08804307835286593, 0.08544627712085705, 0.07318912550260792, 0.0797075437483486, 0.0729019606896365]"
11,"[0.5689125137699452, 0.6153183785294346, 0.6550309402169514, 0.4892520863962611, 0.39557162748789276, 0.4038458638716532, 0.38293996683742787, 0.31154515975303965, 0.21923173391444212, 0.24092462537716958, 0.22678116008451693, 0.1948397799118071, 0.20118673175049723, 0.1399977263867156, 0.13569902644220222, 0.14141106586160693, 0.11913286906164847, 0.13867517709675423, 0.14977113912138412, 0.12915843517908035]"
12,"[0.6687821720295901, 0.517485880260311, 0.6211710071226484, 0.2890092427261014, 0.3531879429711392, 0.29003759794023837, 0.38484984265263317, 0.18247254633165744, 0.1572332871240617, 0.17571549109514756, 0.141406246657563, 0.12495082891351103, 0.12532953670324767, 0.11874022898674635, 0.08136647418945589, 0.12003080869866595, 0.11291960848237526, 0.10329263000247436, 0.09238824761708127, 0.0764790208166847]"
13,"[0.6449831800300053, 0.778742774870234, 0.3250772768539293, 0.29082321004058204, 0.3232541354163884, 0.26646334720297576, 0.2556296481233736, 0.16116339545394656, 0.21676844919104063, 0.19208548678107662, 0.17604214953046618, 0.21198940308980468, 0.1673689135266679, 0.1327495305423335, 0.13511670878975188, 0.12679396291780068, 0.10678880615295161, 0.091773606114439, 0.12599112005586194, 0.0977531372713285]"
14,"[0.802643094758099, 0.516680323913396, 0.25186148115288076, 0.23778326192275523, 0.2310168876163552, 0.2591887207143978, 0.32693110243871193, 0.19311054621335605, 0.12224663042415923, 0.16445789363472535, 0.17262244944618899, 0.15607925156298635, 0.12661859770257927, 0.07959651909789126, 0.0815456582321524, 0.08156804536553058, 0.0738079787883951, 0.09445525017024603, 0.07317481779425049, 0.07938060676262788]"
15,"[0.601343063056426, 0.47156224224554666, 0.5580449604219898, 0.4348125589592662, 0.3229761668440172, 0.32017190737572865, 0.22190811076033107, 0.2183911572765666, 0.2542003616554989, 0.3233856181011421, 0.20006196339747512, 0.2086213025544841, 0.20539618539585303, 0.12794880503927056, 0.20105666230319624, 0.19547862778767008, 0.1395363052031281, 0.14094656364458544, 0.11188019993299497, 0.11335438895105893]"
16,"[0.5736243034028636, 0.7299079728029816, 0.5446113645685721, 0.3810540216296416, 0.32627536698100396, 0.35782532920078725, 0.3086770199399443, 0.32801014220044633, 0.2533030133864123, 0.23757884552438172, 0.17753190040188693, 0.2221636657654068, 0.20464497589666952, 0.19344975699048744, 0.15838616558720403, 0.16964024114381226, 0.1541753332545449, 0.11315207867559933, 0.10719385218602386, 0.08162537291446322]"
17,"[0.8622432003512162, 0.587541207917367, 0.22171644275387095, 0.2766525969074392, 0.14945048690588694, 0.11512694929303646, 0.12580092149001915, 0.1226887636195225, 0.08530454980644765, 0.09636562766893288, 0.08660459174051754, 0.07366389078348168, 0.05200611937864694, 0.0585270410196667, 0.07444613183881932, 0.05709962131355162, 0.07377530014652336, 0.05264028065442383, 0.06592517432571386, 0.06816156014983438]"
18,"[0.8501556990138162, 0.3894886490773395, 0.3244935863977039, 0.23413993397333327, 0.24430864673940117, 0.18948913992642116, 0.2990278117153344, 0.15614433762295163, 0.1580778859095981, 0.17436046912229863, 0.1930614832721928, 0.10364300865780506, 0.12291933189721281, 0.10132073194724964, 0.10739102468671294, 0.10299905729328668, 0.11451802152899843, 0.11360988204736752, 0.09839859749142743, 0.11378274591954732]"
19,"[0.7851430204852301, 0.5500518262933516, 0.6873219153095513, 0.3646962833307841, 0.2014623075287132, 0.16027016667933736, 0.17735146573785426, 0.1943596182635902, 0.14105533830337016, 0.16441015841225187, 0.1598845391208944, 0.17599772618896825, 0.18976164760275727, 0.12592876095449848, 0.108866521865116, 0.1470285779654122, 0.13276827415056153, 0.10389701209872111, 0.09790948564593113, 0.13009458585591765]"
20,"[0.877320505277662, 0.26039434914209963, 0.15751553303370963, 0.18226826394962978, 0.10852750167759567, 0.12612015272217342, 0.11351086640959496, 0.15321421025554227, 0.10217788833094499, 0.1270054918825049, 0.09308997664989423, 0.08090845690460774, 0.08527418503955268, 0.12060023814060697, 0.07830377303617891, 0.08289146910994248, 0.08405760297435234, 0.0932651972365866, 0.07695461317924752, 0.06488989451515367]"
21,"[0.703212214568447, 0.6187915369949293, 0.628133941468442, 0.4611908763132848, 0.33956497197009095, 0.28171361951141755, 0.3234466154968279, 0.2346862295117123, 0.23622422219638936, 0.2243962667338107, 0.20927835547506812, 0.20180575801998235, 0.21989630585037945, 0.2007974686779042, 0.22153923854650745, 0.19687539162289452, 0.17478013284406, 0.12175707184226975, 0.1292068466859957, 0.13752610162741918]"
22,"[0.7502512421370686, 0.5757075771138639, 0.36388365276359325, 0.33683116184144757, 0.2559594628956196, 0.2052473658744608, 0.3260676825614404, 0.2256467261649756, 0.21039560738817042, 0, 0, 0, 0, 0, 0, 0]"
23,"[0.756583038958142, 0.8223248977154052, 0.5118810508565285, 0.33859910055923775, 0.31398391591100294, 0.3622465462608337, 0.17898848117275262, 0.16129779343131712, 0.1376985648780676, 0.1234455842411922, 0.12128613555588275, 0.09823887044308602, 0.1133380498770218, 0.09993862920750313, 0.0987458325307122, 0.10688310633795306, 0.10411486111559501, 0.09537783555161915, 0.08897190241290326, 0.09292142154360472]"
24,"[0.723422746260928, 0.5994018572090897, 0.6479888871167272, 0.6749982448813407, 0.40749963537367373, 0.31947806059578554, 0.2813016164367358, 0.20749100139431453, 0.2449279520711621, 0.11789414787818285, 0.13855921243480174, 0.09199141875974268, 0.15977418289188533, 0.09775288238338524, 0.08864086338908486, 0.10806073358511536, 0.08202002580654336, 0.07832979827424662, 0.08977999031544155, 0.06398765908289779]"
25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"[0.6974762286143881, 0.5807312541870239, 0.44464970405469784, 0.3116315325286335, 0.2522339394686665, 0.2901124776495016, 0.34588112036307495, 0.21420512287855284, 0.15352289254852536, 0.16105520379593352, 0.11771457003056077, 0.11084924545083631, 0.09146539213843169, 0.05468840146300382, 0.04870301220720298, 0.08141508499469427, 0.05581063280308583, 0.060123002786448304, 0.045051882480936986, 0.043275029703229086]"
27,"[0.878126387239841, 0.3169226973761985, 0.33764854669599137, 0.11145781085568626, 0.12453042592739341, 0.08679865670923043, 0.09250401181110973, 0.09834703554981504, 0.06721566375040669, 0.06084485806595216, 0.09809705390727208, 0.057904644271488385, 0.07539357210022796, 0.04813591019355415, 0.05395282554059233, 0.07094437506776369, 0.05543722681962142, 0.07181163086672555, 0.05145589968396591, 0.04891241443625901]"
28,"[0.8682081548477132, 0.30652088057993243, 0.23787599126563577, 0.23812699686720198, 0.31536771484108106, 0.2200142727727239, 0.26728835339563495, 0.24500318864256995, 0.25528348391617284, 0.15642221032006132, 0.20817657938388187, 0.19544649866062352, 0.20692892470157587, 0.1600686863476921, 0.19770913695239772, 0.1515796062904221, 0.1432250023532155, 0.12162598430583287, 0.15399014126752392, 0.12415539985302082]"
29,"[0.7292908511495401, 0.4228508260221736, 0.4566089637695909, 0.39799917445471467, 0.3690679987484179, 0.31069871173568536, 0.2238651076424389, 0.21300393035733564, 0.17101728713696368, 0.283037898923837, 0.18449956442193222, 0.2776197143651086, 0.14244838736012144, 0.1547365981853036, 0.08290460296653396, 0.08275346136076822, 0.09543653661077331, 0.09747355363573063, 0.09219900833954996, 0.07569024907482444]"
30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[0.7647990227669804, 0.6294162041569238, 0.5580187215822059, 0.3101288467399411, 0.26742619058413525, 0.29363239078939696, 0.2667385906528491, 0.21954588339116546, 0.25683364390159236, 0.16517272186788234, 0.1939405509793865, 0.14086646531836974, 0.1623392959394943, 0.15740812361553486, 0.12799155339376164, 0.116975707960419, 0.10985657303938837, 0.11620428752506323, 0.11126029325950325, 0.0792876007170965]"
32,"[0.7760558080341524, 0.6443954878771665, 0.5862068278866606, 0.4149833739270402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
